DATE OF PUBLICATION	GENDER	NATIONALITY	AUTHOR	TITLE	URL	TYPE	NOTES
1909	M	IE	S. G. Bayne	A Fantasy of Mediterranean Travel	http://www.gutenberg.org/files/22115/22115-8.txt	report	Italy and other countries
1911	F	UK	Olave M. (Olave Muriel) Potter	A Little Pilgrimage in Italy	https://www.gutenberg.org/files/46092/46092-h/46092-h.htm	report	Italy
1912	M	UK	E.V. Lucas	A Wanderer in Florence	http://www.gutenberg.org/cache/epub/10769/pg10769-images.html	report	Italy: Florence
1914	M	UK	E.V. Lucas	A Wanderer in Venice	https://www.gutenberg.org/files/16705/16705-h/16705-h.htm	report	Italy: Venice
1905	M	US	Walter W. Moore	A Year in Europe	http://www.gutenberg.org/files/47644/47644-8.txt	report	Italy and other countries
1921	M	UK	Norman Douglas	Alone	https://www.gutenberg.org/files/7380/7380-h/7380-h.htm	report	Italy
1881	M	UK	Samuel Butler	Alps and Sanctuaries of Piedmont and the Canton Ticino	http://www.gutenberg.org/cache/epub/2576/pg2576.txt	report	Italy and other countries
1900	F	US	Lilian Bell	As Seen By Me	https://www.gutenberg.org/files/12416/12416-h/12416-h.htm#XIII	report	Italy and other countries
1901	M	UK	George Gissing	By the Ionian Sea: Notes of a Ramble in Southern Italy	http://www.gutenberg.org/files/4354/4354.txt	report	Italy: Southern Italy
1899	F	US	Laura G. Collins	By-gone Tourist Days: Letters of Travel	http://www.gutenberg.org/files/48728/48728-0.txt	report	Italy and other countries
1911	M	UK	William Wiehe Collins	Cathedral Cities of Italy	https://www.gutenberg.org/files/37692/37692-h/37692-h.htm	guidebook	Italy
1920	M	UK	H. Festing Jones	Diversions in Sicily	https://www.gutenberg.org/files/24652/24652-h/24652-h.htm	report	Italy: Sicily
1932	M	UK	D. H. Lawrence	Etruscan Places	http://gutenberg.net.au/ebooks09/0900381h.html	report	Italy
1914	M	US	Russell Richardson	Europe from a Motor Car	http://www.gutenberg.org/files/41588/41588-8.txt	report 	Italy and other countries
1884	M	UK	W. Cope Devereux	Fair Italy, the Riviera and Monte Carlo	https://www.gutenberg.org/files/23959/23959-h/23959-h.htm	report	Italy and other countries
1907	M	UK	Edward Hutton	Florence and Northern Tuscany with Genoa	https://www.gutenberg.org/files/16477/16477-h/16477-h.htm	guidebook	Italy
1889	M	US	Maturin M. Ballou	Foot-prints of Travel or, Journeyings in Many Lands	http://www.gutenberg.org/files/27874/27874-8.txt 	report	Italy and other countries
1909	F	UK	Elizabeth Butler	From sketch-book and diary	https://www.gutenberg.org/files/40925/40925-h/40925-h.htm	report	Italy and other countries
1868	F	US	Julia Ward Howe	From the Oak to the Olive: A Plain record of a Pleasant Journey	https://www.gutenberg.org/files/38127/38127-h/38127-h.htm	report	Italy and other countries
1909	M	UK	J. Wardle	From the Thames to the Tiber	http://www.gutenberg.org/files/38183/38183-h/38183-h.htm	report	Italy and other countries
1875	M	UK	Douglas William Freshfield	Italian Alps. Sketches in the Mountains of Ticino, Lombardy, the Trentino, and Venetia	http://www.gutenberg.org/files/45972/45972-0.txt	report 	Italy
1906	F	US	Anne Hollingsworth Wharton	Italian Days and Ways	https://www.gutenberg.org/files/44418/44418-h/44418-h.htm	report	Italy
1909	M	US	Francis Miltoun	Italian Highways and Byways from a Motor Car	https://www.gutenberg.org/files/44212/44212-h/44212-h.htm	guidebook	Italy
1909	M	US	Henry James	Italian Hours	https://www.gutenberg.org/files/6354/6354-h/6354-h.htm	report	Italy
1867	M	US	W. D. Howells	Italian Journeys	http://www.gutenberg.org/cache/epub/14276/pg14276-images.html	report	Italy
1905	F	US	Mary Alsop King Waddington	Italian Letters of a Diplomat's Wife	https://www.gutenberg.org/files/37953/37953-h/37953-h.htm	report	Italy
1901	M	UK	Arthur H. Norway	Naples Past and Present	https://www.gutenberg.org/files/39100/39100-h/39100-h.htm	report	Italy: Naples
1916	F	US	Elizabeth Robins Pennell	Nights	https://www.gutenberg.org/files/24452/24452-h/24452-h.htm	report	Italy and other countries
1915	M	UK	Norman Douglas	Old Calabria	https://www.gutenberg.org/files/7385/7385-h/7385-h.htm	report	Italy: Calabria
1880	M	UK	Robert Burn	Old Rome. A Handbook to the Ruins of the City and the Campagna	http://www.gutenberg.org/files/41409/41409-8.txt	guidebook	Italy: Rome
1868	M	US	Nathaniel Hawthorne	Passages From the French and Italian Notebooks, Complete	http://www.gutenberg.org/ebooks/7881	report	Italy and other countries
1887	M	?	S. Russell Forbes	Rambles in Rome	https://www.gutenberg.org/files/43416/43416-h/43416-h.htm	guidebook	Italy: Rome
1868	M	?	Cusack Patrick Roney	Rambles on Railways	http://www.gutenberg.org/files/49061/49061-0.txt	guidebook	Italy and other countries
1908	M	US	W. D. Howells	Roman Holidays and Others	https://www.gutenberg.org/files/7422/7422-h/7422-h.htm	report	Italy and other countries
1905	F	UK	Hope Malleson	Rome	https://www.gutenberg.org/files/36817/36817-h/36817-h.htm	guidebook	Italy: Rome
1872	M	US	Charles Dudley Warner	Saunterings	http://www.gutenberg.org/files/3128/3128-h/3128-h.htm	report	Italy and other countries
1921	M	UK	D. H. Lawrence	Sea and Sardinia	http://www.gutenberg.org/files/37206/37206-h/37206-h.htm	report	Italy: Sardinia
1911	M	UK	Norman Douglas	Siren Land	http://gutenberg.net.au/ebooks03/0300571.txt	report	Italy
1898	M	UK	John Symonds	New Italian Sketches	http://www.gutenberg.org/files/24689/24689-8.txt	report	Italy
1881	M	UK	Edward A. Freeman	Sketches from the Subject and Neighbour Lands of Venice	https://www.gutenberg.org/files/40394/40394-h/40394-h.htm	guidebook	Italy
1893	M	UK	Edward A. Freeman	Studies of Travel: Italy	https://www.gutenberg.org/files/45899/45899-h/45899-h.htm	guidebook	Italy
1863	M	US	Bayard Taylor	The Lands of the Saracen. Pictures of Palestine, Asia Minor, Sicily, and Spain	http://www.gutenberg.org/files/10924/10924-8.txt	report	Italy and other countries
1907	M	UK	T. G. (Thomas Gray) Bonney, E. A. R. Ball, H. D. Traill, Grant Allen, and Arthur Griffiths	The Mediterranean. Its Storied Cities and Venerable Ruins	http://www.gutenberg.org/files/41263/41263-8.txt	guidebook	Italy and other countries
1907	M	UK	Herbert M. Vaughan	The Naples Riviera	http://www.gutenberg.org/files/30634/30634-h/30634-h.html	guidebook	Italy: Naples
1907	M	US	William Jennings Bryan	The Old World and Its Ways. Describing a Tour around the World and Journeys through Europe	http://www.gutenberg.org/files/45376/45376-8.txt	report	Italy and other countries
1906	F	UK	Vernon Lee	The Spirit of Rome	https://www.gutenberg.org/files/27873/27873-h/27873-h.htm	report	Italy: Rome
1874	F	UK	R. H. Busk	The Valleys of Tirol. Their traditions and customs and how to visit them	http://www.gutenberg.org/files/43614/43614-8.txt	guidebook	Italy and other countries
1876	M	?	George H. Heffner	The Youthful Wanderer	https://www.gutenberg.org/files/10638/10638-h/10638-h.htm	report	Italy and other countries
1865	F	UK	Anna Vivanti	Three Months Abroad	https://www.gutenberg.org/files/41246/41246-h/41246-h.htm	report	Italy and other countries
1900	M	US	Samuel H. M. Byers	Twenty Years in Europe. A Consul-General's Memories of Noted People, with Letters. From General W. T. Sherman	http://www.gutenberg.org/files/44296/44296-8.txt	report	Italy and other countries
1916	M	UK	D. H. Lawrence	Twilight in Italy	http://www.gutenberg.org/cache/epub/9497/pg9497-images.html	report	Italy
1887	F	US	Elizabeth Robins Pennell & Joseph Pennell	Two Pilgrims' Progress from fair Florence, to the eternal city of Rome	https://www.gutenberg.org/files/49831/49831-h/49831-h.htm	report	Italy
1867	M	US	W. D. Howells	Venetian Life	http://www.gutenberg.org/cache/epub/7083/pg7083.txt	report	Italy: Venice
1904	F	AU	Dorothy Menpes	Venice	https://www.gutenberg.org/files/42998/42998-h/42998-h.htm	report	Italy: Venice
1912	M	US	Arthur Stanley Riggs	Vistas in Sicily	http://www.gutenberg.org/files/40381/40381-h/40381-h.htm	report	Italy: Sicily
1875	M	UK	Augustus J.C. Hare	Walks in Rome	http://www.gutenberg.org/files/39308/39308-h/39308-h.htm	guidebook	Italy: Rome
1879	M	UK	William Miller	Wintering in the Riviera. With Notes of Travel in Italy and France, and Practical Hints to Travellers	http://www.gutenberg.org/files/47463/47463-0.txt	report	Italy and other countries
